year,Loss,tmin6
1969,359.9097649,15.78311241
1968,354.8771524,16.8491876
1998,379.2015075,17.90676869
1946,214.2870068,14.76580409
1960,239.2310359,14.57659472
1985,186.9666975,14.22550273
1963,194.43548,14.99095509
1976,184.1705811,14.88403716
1939,173.0728282,16.67252827
1953,255.385188,16.75924896
1969,180.8250925,13.23243884
1933,283.6715537,17.38736272
1951,235.4999025,14.26390071
1968,235.6692863,15.80909366
1931,214.0358968,16.73010917
2012,323.1444182,15.5320065
2004,200.2589752,15.23115685
1962,200.007483,15.27272758
1943,194.6000301,17.79354841
1965,189.4628529,14.91265408
1956,239.1037365,16.40224794
