year,Loss,tmin6,dpt6,dpt11,tmax12,dpt12
1981,278.1235866,17.49637837,16.65701672,-0.721489231,5.746701245,-4.285924263
1952,266.1538512,17.23983229,15.94618902,-4.932330413,1.707323573,-8.0473195
1953,281.3648278,16.08776131,14.74249946,-1.634110847,3.005643108,-3.979972832
1983,345.3847846,15.39801652,12.98437956,0.074073341,6.534461996,-1.442956925
1951,283.2017503,13.68722565,13.23552011,-3.851178586,-2.325110786,-11.09181647
1927,244.5572104,12.46732078,11.39765918,-2.821210648,0.793892295,-7.749825114
1986,217.6704035,14.49493618,14.27624139,0.728661008,-2.556417817,-11.34253444
1936,317.6428046,12.22718968,10.50833267,-0.806938404,-0.730759401,-8.756231563
1939,198.0914132,16.40852343,15.0128273,-0.529283991,2.878732387,-6.125837243
1960,257.515792,14.10020659,12.77471283,-3.986819179,5.738919153,-2.051620392
1987,257.6759641,16.2361691,14.24377059,-3.08557615,2.664253458,-4.469662849
1969,208.7667705,12.81840196,12.00636729,0.268760793,1.790362603,-6.566952673
2000,252.823531,14.84641523,13.48058951,0.464930389,2.888603972,-5.05172772
1996,271.3644044,14.95958738,15.05570796,-4.106446005,0.853217927,-8.21030481
1994,183.2093273,15.2890902,14.06250407,-1.446033363,1.392719877,-5.582244191
1971,345.4707635,18.63130301,18.66683807,0.916278616,9.221740543,-1.843861392
1932,221.4413583,17.83926474,16.708346,6.319575162,11.86933954,1.998050821
1925,254.7657557,18.71735023,17.02083846,1.068654528,5.856637874,-5.954461803
1959,368.3266884,16.75223617,16.03624843,2.328107523,4.178419812,-6.77715806
1943,388.751423,18.90893956,18.60737676,3.004423399,5.254812724,-4.209297353
1981,314.5595633,18.66840233,17.52085745,0.348160645,7.316556606,-3.073129377
1999,373.1462786,17.72005807,17.64368715,3.192341176,8.586093552,-0.726544644
1998,383.7967771,18.27780253,17.82899492,0.674803494,5.821957626,-1.955831566
2010,362.6515171,20.44349891,19.48562366,3.307801506,4.951549716,-4.114270142
2013,309.7511196,18.04243601,17.35002206,0.219850249,10.09929241,1.058447971
1934,549.0383758,19.67206595,16.33144485,-2.062298847,6.312933,-4.859823294
1939,210.3334752,17.81569564,16.82787894,-0.302417809,4.001265763,-5.399785792
1956,259.4584647,17.3945091,15.70440125,-3.98041391,2.644684122,-8.947649398
1940,200.0797223,16.93938844,15.42857939,-1.142959061,7.508162787,-3.323844291
1985,191.3908894,14.50003202,13.16408898,-1.388028739,6.591339761,-3.17910277
1950,240.9833955,15.52245147,14.69250521,-0.802533404,6.564891616,-5.136257178
1961,218.0528033,15.19178921,13.63030589,0.11275837,2.565886579,-8.706602885
1982,186.0190159,13.64643495,13.43091014,1.214204972,1.917414204,-7.407853986
1928,177.2210336,13.95442257,13.46135725,0.631116381,2.72382697,-8.571205613
1999,271.002415,16.61046438,16.07555013,1.260428018,6.549369559,-4.111129277
1961,245.0436402,14.73656301,13.19847934,-0.073624417,2.225767392,-9.073965395
